id	tmc_term	tmc_type	tmc_id	priority	n2000_code	insider_category	insider_subcategory	rcs_common_name	rcs_scheme_name	rcs_id	created_at	updated_at	rcs_taxonomy_path
1	3D Animation & Rendering	Industry	200001	0	SWIT	NULL	NULL	Software / IT Services	Business Sectors (RBSS)	B:172	NULL	2010-04-24 15:44:54	B:172\\Software &amp; IT Services (TRBC)\\B:161\\Technology (TRBC)
2	401(K) Management	Industry	200002	0	INVS	NULL	NULL	Investment Services	Business Sectors (RBSS)	B:130	NULL	2010-04-24 15:44:54	B:130\\Investment Banking &amp; Investment Services (TRBC)\\B:125\\Financials (TRBC)
3	Accounting	Industry	200003	0	CMSS	NULL	NULL	Commercial Services / Supplies	Business Sectors (RBSS)	B:49	NULL	2010-04-24 15:44:54	B:49\\Commercial Services &amp; Supplies (TRBC)\\B:43\\Industrial Services (TRBC)
4	Accounting Regulatory Announcement	EventType	200004	0	REGS	NULL	NULL	Regulations / Standards	Event Types	E:D	NULL	2010-04-24 15:44:54	E:D\\Regulation
5	Accounting, Consulting & Legal Services	Industry	200005	0	CMSS	NULL	NULL	Commercial Services / Supplies	Business Sectors (RBSS)	B:49	NULL	2010-04-24 15:44:54	B:49\\Commercial Services &amp; Supplies (TRBC)\\B:43\\Industrial Services (TRBC)
6	Adhesives, Abrasives & Coatings	Industry	200006	0	BMAT	NULL	NULL	Basic Materials	Business Sectors (RBSS)	B:12	NULL	2010-04-24 15:44:54	B:12\\Basic Materials (TRBC)
7	Digital Technologies - Advanced	Industry	200007	0	TECH	NULL	NULL	Technology	Business Sectors (RBSS)	B:161	NULL	2010-04-24 15:44:54	B:161\\Technology (TRBC)
8	I.T. - Advanced	Industry	200008	0	TECH	NULL	NULL	Technology	Business Sectors (RBSS)	B:161	NULL	2010-04-24 15:44:54	B:161\\Technology (TRBC)
9	Intelligent Networks - Advanced	Industry	200009	0	TECH	NULL	NULL	Technology	Business Sectors (RBSS)	B:161	NULL	2010-04-24 15:44:54	B:161\\Technology (TRBC)
10	Networking Technology - Advanced	Industry	200010	0	TECH	NULL	NULL	Technology	Business Sectors (RBSS)	B:161	NULL	2010-04-24 15:44:54	B:161\\Technology (TRBC)
11	Telecommunications Technology - Advanced	Industry	200011	0	TCOM	NULL	NULL	Telecommunications Services	Business Sectors (RBSS)	B:177	NULL	2010-04-24 15:44:54	B:177\\Telecommunications Services (TRBC)
12	Advertising	Industry	200012	0	ADVT	NULL	NULL	Advertising / Marketing	Business Sectors (RBSS)	B:93	NULL	2010-04-24 15:44:54	B:93\\Advertising &amp; Marketing (TRBC)\\B:92\\Media &amp; Publishing (TRBC)\\B:86\\Cyclical Consumer Services (TRBC)
13	Advertising, Marketing  & Public Relations	Industry	200013	1	ADVT	NULL	NULL	Advertising / Marketing	Business Sectors (RBSS)	B:93	NULL	2010-04-24 15:44:54	B:93\\Advertising &amp; Marketing (TRBC)\\B:92\\Media &amp; Publishing (TRBC)\\B:86\\Cyclical Consumer Services (TRBC)
14	Advertising Agencies	Industry	200014	0	ADVT	NULL	NULL	Advertising / Marketing	Business Sectors (RBSS)	B:93	NULL	2010-04-24 15:44:54	B:93\\Advertising &amp; Marketing (TRBC)\\B:92\\Media &amp; Publishing (TRBC)\\B:86\\Cyclical Consumer Services (TRBC)
15	Aerospace	Industry	200015	0	AERO	NULL	NULL	Aerospace / Defense	Business Sectors (RBSS)	B:37	NULL	2010-04-24 15:44:54	B:37\\Aerospace &amp; Defense (TRBC)\\B:35\\Industrial Goods (TRBC)
16	Aerospace & Defense	Industry	200016	1	AERO	NULL	NULL	Aerospace / Defense	Business Sectors (RBSS)	B:37	NULL	2010-04-24 15:44:54	B:37\\Aerospace &amp; Defense (TRBC)\\B:35\\Industrial Goods (TRBC)
17	Aerospace & Defense Electronics	Industry	200017	0	AERO	NULL	NULL	Aerospace / Defense	Business Sectors (RBSS)	B:37	NULL	2010-04-24 15:44:54	B:37\\Aerospace &amp; Defense (TRBC)\\B:35\\Industrial Goods (TRBC)
18	Aerospace Technology	Industry	200018	0	AERO	NULL	NULL	Aerospace / Defense	Business Sectors (RBSS)	B:37	NULL	2010-04-24 15:44:54	B:37\\Aerospace &amp; Defense (TRBC)\\B:35\\Industrial Goods (TRBC)
19	After-Shave	Industry	200019	0	PPRO	NULL	NULL	Personal Products	Business Sectors (RBSS)	B:119	NULL	2010-04-24 15:44:54	B:119\\Personal Products (TRBC)\\B:117\\Personal &amp; Household Products &amp; Services (TRBC)
20	Afghanistan	Geography	100002	1	AF	NULL	NULL	Afghanistan	Geopolitical Unit	G:7R	NULL	2010-04-24 15:44:54	M:DH\\Continent / Region\\G:K\\Asia / Pacific\\G:S\\Asia\\G:W\\South Asia\\G:7R\\Afghanistan|M:DQ\\Country Grouping\\G:BB\\OIC\\G:7R\\Afghanistan|M:DQ\\Country Grouping\\G:BC\\Silk Road\\G:7R\\Afghanistan|M:A9\\Country\\G:7R\\Afghanistan
21	Africa	Geography	100003	1	AFR	NULL	NULL	Africa	Geopolitical Unit	G:V	NULL	2010-04-24 15:44:54	M:DH\\Continent / Region\\G:V\\Africa
22	Aggregates, Concrete & Cement	Industry	200020	0	COMA	NULL	NULL	Construction Materials	Business Sectors (RBSS)	B:26	NULL	2010-04-24 15:44:54	B:26\\Construction Materials (TRBC)\\B:12\\Basic Materials (TRBC)
23	Agricultural Biotechnology	Industry	200021	0	TECH	NULL	NULL	Technology	Business Sectors (RBSS)	B:161	NULL	2010-04-24 15:44:54	B:161\\Technology (TRBC)
24	Agriculture (Farming)	Industry	200022	1	FARM	NULL	NULL	Fishing / Farming	Business Sectors (RBSS)	B:113	NULL	2010-04-24 15:44:54	B:113\\Fishing &amp; Farming (TRBC)\\B:112\\Food &amp; Tobacco (TRBC)\\B:107\\Food &amp; Beverages (TRBC)
25	Agriculture Machinery & Technology	Industry	200023	0	TECH	NULL	NULL	Technology	Business Sectors (RBSS)	B:161	NULL	2010-04-24 15:44:54	B:161\\Technology (TRBC)
26	Agriculture, Food & Beverage	Industry	200024	0	FOBE	NULL	NULL	Food / Beverages	Business Sectors (RBSS)	B:107	NULL	2010-04-24 15:44:54	B:107\\Food &amp; Beverages (TRBC)
27	Agriculture, Food & Beverage Regulatory	EventType	200025	1	REGS	NULL	NULL	Regulations / Standards	Event Types	E:D	NULL	2010-04-24 15:44:54	E:D\\Regulation
28	Agrochemicals	Industry	200026	1	AGRC	NULL	NULL	Chemicals - Agricultural	Business Sectors (RBSS)	B:16	NULL	2010-04-24 15:44:54	B:16\\Agricultural Chemicals (TRBC)\\B:14\\Chemicals (TRBC)\\B:12\\Basic Materials (TRBC)
29	Drugs - Aids	Industry	200027	0	PHAD	NULL	NULL	Pharmaceuticals - Diversified	Business Sectors (RBSS)	B:158	NULL	2010-04-24 15:44:54	B:158\\Diversified Pharmaceuticals (TRBC)\\B:157\\Pharmaceuticals (TRBC)\\B:148\\Healthcare (TRBC)
